Week_Day,Month,Day,Year,0,1,2,3,4,5
Saturday,December,31,1994,7,17,21,30,32,42
Saturday,December,24,1994,1,10,14,36,41,44
Saturday,December,17,1994,9,17,19,32,40,43
Saturday,December,10,1994,21,23,35,37,39,48
Saturday,December,3,1994,8,14,24,39,42,46
Saturday,November,26,1994,3,22,28,32,45,47
Saturday,November,19,1994,2,9,30,35,36,39
Saturday,November,12,1994,3,12,37,41,43,48
Saturday,November,5,1994,6,11,13,33,35,44
Saturday,October,29,1994,5,14,24,26,32,40
Saturday,October,22,1994,10,16,20,28,39,40
Saturday,October,15,1994,7,10,18,21,42,45
Saturday,October,8,1994,3,4,17,22,37,44
Saturday,October,1,1994,6,7,12,30,43,44
Saturday,September,24,1994,4,23,38,39,44,48
Saturday,December,30,1995,18,29,32,37,43,44
Saturday,December,23,1995,3,7,15,19,34,40
Saturday,December,16,1995,3,18,31,32,36,37
Saturday,December,9,1995,2,15,21,29,36,47
Saturday,December,2,1995,1,2,21,41,44,47
Saturday,November,25,1995,9,12,28,36,40,45
Saturday,November,18,1995,6,11,22,37,41,44
Saturday,November,11,1995,6,24,28,33,34,38
Saturday,November,4,1995,4,16,18,30,38,39
Saturday,October,28,1995,11,19,24,37,41,44
Saturday,October,21,1995,14,21,38,39,40,46
Saturday,October,14,1995,1,8,30,33,35,46
Saturday,October,7,1995,4,26,34,36,43,44
Saturday,September,30,1995,3,17,21,22,33,38
Saturday,September,23,1995,4,17,19,28,37,43
Saturday,September,16,1995,4,27,31,37,41,42
Saturday,September,9,1995,18,19,22,29,32,33
Saturday,September,2,1995,9,16,18,27,28,44
Saturday,August,26,1995,7,21,34,37,39,46
Saturday,August,19,1995,2,17,18,29,36,44
Saturday,August,12,1995,2,17,27,36,38,43
Saturday,August,5,1995,5,19,26,28,45,48
Saturday,July,29,1995,1,7,12,20,30,38
Saturday,July,22,1995,5,15,24,26,36,41
Saturday,July,15,1995,18,19,20,23,45,46
Saturday,July,8,1995,1,2,21,27,36,37
Saturday,July,1,1995,12,13,14,19,25,27
Saturday,June,24,1995,22,23,25,30,39,48
Saturday,June,17,1995,5,9,11,16,20,25
Saturday,June,10,1995,2,8,11,12,17,37
Saturday,June,3,1995,2,18,31,35,40,41
Saturday,May,27,1995,17,20,26,39,44,47
Saturday,May,20,1995,11,27,34,35,37,45
Saturday,May,13,1995,7,17,18,21,25,32
Saturday,May,6,1995,15,18,23,24,36,48
Saturday,April,29,1995,3,12,13,15,26,28
Saturday,April,22,1995,5,14,18,25,38,44
Saturday,April,15,1995,6,32,36,41,45,48
Saturday,April,8,1995,5,8,25,31,42,47
Saturday,April,1,1995,1,2,9,27,35,48
Saturday,March,25,1995,7,13,16,35,36,39
Saturday,March,18,1995,1,4,28,42,45,46
Saturday,March,11,1995,7,15,16,27,29,44
Saturday,March,4,1995,8,11,15,26,27,47
Saturday,February,25,1995,5,18,19,21,30,34
Saturday,February,18,1995,6,13,16,17,34,43
Saturday,February,11,1995,14,17,25,30,31,34
Saturday,February,4,1995,11,20,21,24,29,42
Saturday,January,28,1995,2,8,10,26,29,34
Saturday,January,21,1995,7,13,17,21,22,42
Saturday,January,14,1995,4,9,14,30,34,36
Saturday,January,7,1995,24,31,33,35,40,44
Saturday,December,28,1996,22,27,29,31,37,42
Saturday,December,21,1996,13,25,27,40,42,47
Saturday,December,14,1996,6,16,18,31,45,46
Saturday,December,7,1996,9,18,23,26,32,40
